"","add","add0","ser0","mean_score","num","sum_rank"
"1","강원","동해시","무릉계곡",2.67741935483871,62,903
"2","강원","삼척시","덕풍계곡",3.83870967741935,62,1434
"3","강원","삼척시","이끼계곡",2.36170212765957,47,489
"4","강원","양구군","두타연",3.28333333333333,60,1086
"5","강원","양구군","천미계곡",4.61666666666667,60,1612
"6","강원","양구군","팔랑폭포",2.7741935483871,31,437
"7","강원","양양군","주전골",2,1,4
"8","강원","영월군","김삿갓계곡",2.76363636363636,55,745
"9","강원","영월군","법흥계곡",2.85714285714286,14,186
"10","강원","영월군","엄둔계곡",2,5,40
"11","강원","영월군","연하계곡",2.81481481481481,27,400
"12","강원","영월군","이끼계곡",2,1,5
"13","강원","인제군","내린천계곡",2,2,4
"14","강원","인제군","백담계곡",4.2258064516129,62,1553
"15","강원","인제군","십이선녀탕계곡",2.56896551724138,58,656
"16","강원","인제군","아침가리",3.59677419354839,62,1340
"17","강원","인제군","용소폭포",2,23,135
"18","강원","철원군","담터계곡",3.03030303030303,33,522
"19","강원","철원군","매월대폭포",2.625,32,399
"20","강원","철원군","삼부연폭포",2.68421052631579,38,481
"21","강원","철원군","순담계곡",2,1,2
"22","강원","철원군","직탕폭포",2.6046511627907,43,551
"23","강원","태백시","검룡소",3.43548387096774,62,1250
"24","강원","평창군","흥정계곡",2.46666666666667,15,162
"25","강원","홍천군","용소계곡",2.55555555555556,54,674
"26","강원","화천군","광덕계곡",3.11363636363636,44,768
"27","강원","화천군","만산동계곡",2,1,6
"28","강원","화천군","비수구미계곡",2.18518518518519,27,189
"29","강원","화천군","삼일계곡",3.06666666666667,45,733
"30","강원","횡성군","병지방계곡",2.82142857142857,56,836
"31","경기","가평군","명지계곡",2.4,5,42
"32","경기","가평군","용추계곡",3.48333333333333,60,1160
"33","경기","남양주시","수동계곡",2,2,20
"34","경기","동두천시","왕방계곡",2.375,8,68
"35","경기","안양시 만안구","삼막사계곡",2.57142857142857,7,92
"36","경기","양주시","송추계곡",4.79032258064516,62,1787
"37","경기","양주시","장흥계곡",2,2,10
"38","경기","양평군","중원계곡",2.51724137931034,29,323
"39","경기","연천군","동막계곡",2.81818181818182,33,446
"40","경기","연천군","열두개울계곡",2,4,29
"41","경기","연천군","재인폭포",4.96774193548387,62,1828
"42","경기","용인시 수지구","고기리계곡",2,2,13
"43","경기","포천시","백운계곡",4.09677419354839,62,1495
"44","경기","포천시","비둘기낭폭포",3.01639344262295,61,981
"45","경남","거창군","가조계곡",2.33333333333333,6,45
"46","경남","거창군","월성계곡",3.33928571428571,56,1068
"47","경남","고성군","연화산계곡",2.625,16,205
"48","경남","김해시","장유대청계곡",3.15625,32,559
"49","경남","밀양시","구만폭포",2,1,5
"50","경남","밀양시","시례호박소",2,2,17
"51","경남","밀양시","얼음골",3.08196721311475,61,1029
"52","경남","밀양시","호박소계곡",4.08064516129032,62,1477
"53","경남","사천시","용소계곡",2,4,25
"54","경남","산청군","거림계곡",2,12,55
"55","경남","산청군","대원사계곡",3.12727272727273,55,918
"56","경남","산청군","백운동계곡",3.85245901639344,61,1401
"57","경남","산청군","수월폭포",2,1,3
"58","경남","산청군","예치계곡",2,1,5
"59","경남","산청군","오봉계곡",2,7,41
"60","경남","산청군","중산리계곡",2,9,69
"61","경남","산청군","청계계곡",2,2,5
"62","경남","양산시","내원사계곡",2.75,8,106
"63","경남","양산시","무지개폭포",2.5,4,46
"64","경남","양산시","홍룡폭포",2.33333333333333,3,20
"65","경남","의령군","벽계계곡",2,5,28
"66","경남","의령군","유곡천",2,1,2
"67","경남","의령군","찰비계곡",2.73684210526316,19,262
"68","경남","창녕군","옥천계곡",2.61538461538462,13,155
"69","경남","창원시 마산합포구","거락계곡",2,2,5
"70","경남","창원시 진해구","대장동계곡",2.33333333333333,3,24
"71","경남","함안군","별천계곡",2,1,3
"72","경남","함양군","농월정계곡",2.68181818181818,44,557
"73","경남","함양군","백무동계곡",2.51515151515152,33,394
"74","경남","함양군","부전계곡",3.17647058823529,51,920
"75","경남","함양군","용추계곡",3.26315789473684,57,1064
"76","경남","함양군","용추폭포",2,6,38
"77","경남","함양군","칠선계곡",4.53225806451613,62,1671
"78","경남","함양군","한신계곡",2.95555555555556,45,668
"79","경남","함양군","화림동계곡",2,1,3
"80","경남","합천군","소리길계곡",2,10,60
"81","경남","합천군","황계폭포",2.0625,16,113
"82","경북","고령군","상비리계곡",3.38461538461538,39,728
"83","경북","군위군","동산계곡",3.6271186440678,59,1225
"84","경북","김천시","증산계곡",2.14285714285714,7,49
"85","경북","문경시","선유동계곡",2.76923076923077,52,736
"86","경북","문경시","쌍룡계곡",2.56521739130435,46,539
