add0,name,search,wqg,bts,tbp,g_count,p_count,cafe_count.5km.,final_score*비율,final_score
괴산,화양구곡,3.82,1.7,19,91,320,31,0,30.1,304
괴산,갈론계곡,2.17,2,13,148,50,8,6,15.6,158
괴산,괴산선유동계곡,2.31,2,21,75,80,21,0,8.2,83
괴산,쌍곡구곡,0.06,2,16,64,12,19,1,27.1,274
영월,김삿갓계곡,10.39,6,20,72,71,20,2,15.2,159
영월,어라연계곡,0.88,2,12,40,80,3,2,5.7,60
영월,이끼계곡,2.44,4,18,76,91,0,1,6,63
영월,연하계곡,1.12,1,10,41,59,2,1,10.6,111
영월,법흥계곡,0.39,1,24,96,62,24,4,8.4,88
영월,엄둔계곡,65.74,4.6,24,156,61,19,3,6.4,67
영월,내리계곡,4.37,6,28,111,19,9,1,5.7,60
양구,천미계곡,5.8,2,33,128,26,0,0,37.3,279
양구,광치계곡,0.38,2,5.5,58,12,4,2,8,60
양구,두타연계곡,0.61,2,16.3,86,432,6,0,26.6,199
양구,비수구미,6.19,2,26.4,112,135,2,1,8,60
양구,남전계곡,0.3,2,11,97,15,4,3,8,60
인제,아침가리계곡,9.69,2.5,11.3,51,271,13,2,45,223
인제,내린천,3.69,3.6,4.7,15,117,40,23,12.9,64
인제,백담계곡,13.97,1.5,2.5,3,160,6,8,52.9,262
인제,십이선녀탕,1.7,1.5,3.7,23,117,4,5,30.9,153
인제,진동계곡,1.78,2.5,10.4,51,52,13,2,12.1,60
인제,미산계곡,1.64,2.4,6.2,50,65,20,1,12.1,60
인제,하추리계곡,0.47,3.7,13.2,48,8,13,1,12.1,60
인제,가야동계곡,0.1,1.5,9.5,999,21,0,0,12.1,60
인제,구만동계곡,0.41,1.5,1.2,9,7,12,7,12.1,60
인제,수렴동계곡,0,1.5,3.9,20,36,0,5,12.1,60
인제,방동계곡,0.23,2.5,2.7,24,5,3,0,12.1,60
인제,내심적계곡,0.05,1.5,2.1,15,1,1,0,12.1,60
인제,옥녀탕계곡,0.01,1.5,11.3,54,13,4,0,12.1,60
인제,추대계곡,0,2.5,9.3,70,9,18,0,12.1,60
인제,대승폭포계곡,0.54,1.5,13.6,89,69,1,0,12.1,60
봉화,석천계곡,2.22,2.33,21.43,77,48,4,11,2.3,104
봉화,고선계곡,0.76,7,32.3,999,20,0,0,1.5,67
봉화,백천계곡,0.58,2,16.1,96,21,1,0,1.5,67
봉화,사미정계곡,0.27,2.33,4.44,18,6,0,11,2.1,93
봉화,반야계곡,0.06,2,4.2,58,8,0,0,1.3,60
산청,대원사계곡,2.13,1,23.3,999,115,6,0,11.5,179
산청,백운동계곡,1.07,1.75,16.2,82,50,6,0,15.2,236
산청,중산리계곡,8.69,3,30.4,197,70,45,0,4.6,71
산청,거림계곡,0.87,3,30.9,141,30,38,3,4.8,74
산청,오봉계곡,0.59,1,19.1,73,24,8,0,4.4,69
산청,청계계곡,1.03,3,13.5,77,5,18,8,4.1,64
산청,천내계곡,0.05,3,21.5,80,0,2,0,3.9,60
산청,고운동계곡,0.03,2.15,25.2,85,3,10,1,3.9,60
울주군,작천정계곡,8.81,2.57,7.8,49,269,5,45,15.6,165
울주군,석남사 계곡,2.16,1.63,16.4,37,25,1,14,5.7,60
울주군,내원암계곡,0.04,3.67,5.1,32,56,2,15,7.7,82
울주군,천전리각석계곡,0.2,3.47,13.5,71,7,0,12,5.7,60
울주군,철구소,0.01,1.63,25.3,61,80,44,5,7.1,75
파주시,감악산계곡,0.01,4,17,64,44,4,0,1.7,60
파주시,적성계곡,0.85,4,17,64,26,3,15,1.7,60
파주시,마장리계곡,0.92,4,18.5,89,63,2,0,1.7,60
가평군,명지계곡,16.28,2,40.7,169,294,30,0,17.9,69
가평군,녹수계곡,2.7,7,8.2,40,77,44,15,15.6,60
가평군,조무락계곡,1.4,1.75,21.3,118,80,42,1,22.1,85
가평군,조종천계곡,1.22,7,15.2,34,8,45,45,15.6,60
가평군,두밀계곡,0.17,2.75,8.4,36,13,45,9,15.6,60
가평군,용추계곡,28.72,2.75,5.8,100,369,10,0,54.8,211
가평군,화악계곡,0.2,1.75,24.5,178,63,14,0,15.6,60
가평군,귀목계곡,0.28,2,14.5,47,19,10,0,15.6,60
가평군,명지계곡유원지,0.21,2,12.2,47,9,30,0,15.6,60
가평군,익근리계곡,0.12,2,11.7,45,12,45,0,15.6,60
가평군,석룡산계곡유원지,0.01,2,17.3,74,52,45,1,15.6,60
가평군,백둔계곡,0.43,2,6.1,29,4,45,1,15.6,60
가평군,현리계곡,1.56,2,5,26,18,45,15,15.6,60
가평군,큰골계곡,0.24,3.07,9.1,48,10,45,30,15.6,60
가평군,유명계곡,0.88,3.07,27.1,148,12,45,11,15.6,60
가평군,안골계곡,3.06,3.07,18.6,94,41,24,15,15.6,60
가평군,청평계곡,3.41,5.07,0.75,2,16,40,30,15.6,60
가평군,현등사계곡,0.08,2,23.1,105,24,45,9,15.6,60
가평군,고동산계곡,0.08,2,13.6,47,18,45,30,15.6,60
가평군,장재울계곡,0.02,2,14.6,66,2,6,0,15.6,60
가평군,용소계곡,111.45,2,34.2,138,97,5,0,15.6,60
횡성,병지방리계곡,2.484886,,18.4,122,57,0,0,,164
화천,삼일계곡,1.191238,,18.4,139,22,15,1,,155
화천,만산동계곡,0.436159,,22.9,180,13,15,0,,63
화천,비수구미계곡,6.19,,26.4,112,135,7,1,,94
홍천,살둔계곡,0.482136,,14.3,128,8,8,0,,60
홍천,용소계곡,111.4541,,32.4,138,97,15,0,,146
홍천,용오름계곡,2.648794,,6.7,48,30,11,0,,60
홍천,수타사계곡,3.721716,,10.8,58,52,15,15,,60
합천,홍류동계곡,0.927753,,22.1,170,67,15,0,,60
하옥,포천계곡,23.99036,,3.1,10,183,15,10,,260
포항,하옥계곡,8.301074,,26,87,164,15,0,,73
평창,흥정계곡,26.58581,,13.6,35,380,45,14,,84
평창,장전계곡,4.611148,,18.7,70,224,7,0,,60
칠곡,금화계곡,2.061054,,23.8,153,24,0,8,,100
청송,신성계곡,0.26834,,5.1,15,14,0,0,,60
청송,절골계곡,1.527502,,37,8.7,111,15,6,,63
철원,담터계곡,4.886389,,88.7,275,73,15,0,,129
창원,감천계곡,1.092178,,16.1,72,98,0,15,,60
창녕,옥천계곡,2.118109,,41.3,171,114,15,15,,83
진안군,운일암 반일암 계곡,8.418527,,27.9,43,30,5,1,,60
진안군,진안 백운동계곡,1.545476,,17.3,107,52,12,0,,60
제천시,덕동계곡,9.564627,,29.7,106,116,29,0,,173
제천시,송계계곡,15.29283,,35.7,111,192,45,0,,125
정읍시,원적계곡,0.012748,,15.4,156,7,14,5,,60
정읍시,금선계곡,0.132915,,13.5,128,2,0,0,,60
정선,덕산기계곡,2.985207,,31.4,106,59,9,0,,60
장수군,토옥동계곡,2.103478,,28.4,138,51,10,4,,165
장수군,지지계곡,0.509723,,19.9,156,24,5,0,,114
장성군,남창계곡,4.816376,,27.1,105,180,9,0,,175
의정부시,안골계곡,3.055009,,10,34,41,0,45,,60
의성,빙계계곡,1.72646,,21.7,94,147,0,0,,204
원주,용수골계곡,4.484918,,10.7,48,37,5,15,,60
완주군,운장산계곡,0.648283,,48,165,6,15,0,,60
완주군,금당리계곡,0.001045,,31.2,183,1,30,0,,60
완주군,동상계곡,5.717959,,28,280,71,15,5,,76
완주군,운주계곡,24.82026,,27,138,110,15,3,,105
영천,치산계곡,5.061731,,41.4,154,149,5,6,,114
영주,금선정계곡,0.12999,,5.2,107,7,15,30,,60
영주,죽계구곡,0.758211,,15.3,163,25,0,0,,60
영양,수하계곡,0.949018,,30.2,95,51,1,0,,191
영양,삼의계곡,0.324558,,23.6,300,11,0,0,,132
영동군,물한계곡,5.066955,,70,239,149,15,0,,295
영덕,옥계계곡,14.5367,,24.3,77,259,15,0,,190
여주군,문바위계곡,0.503242,,17,80,3,15,14,,60
양평군,중원계곡,10.70048,,17.6,78,278,45,14,,106
양주시,송추계곡,58.61729,,10,54,580,15,30,,297
양주시,장흥계곡,32.52677,,16.1,102,82,15,30,,64
양양,주전골계곡,0.556324,,23.9,89,384,12,3,,60
양양,어성전계곡,2.168892,,23.3,106,27,30,0,,60
안동,용담계곡,0.566985,,4.5,32,8,45,11,,60
아산시,강당골계곡,6.230612,,9,97,4,15,15,,60
성주,포천계곡,23.99036,,13.9,56,183,30,6,,260
서울특별시,우이동계곡,19.22707,,28.3,65,90,2,45,,60
서울특별시,백사실계곡,4.875102,,25.4,53,249,3,45,,60
서울특별시,진관사계곡,10.51177,,30.3,82,169,0,45,,71
서울특별시,수성동계곡,3.625343,,16.7,49,361,5,45,,60
포천시,벽운계곡,0.780156,,17.9,22,29,0,45,,60
삼척,내평계곡,1.886311,,16,79,52,15,0,,60
부안군,와룡소계곡,0.084834,,23.4,80,2,0,0,,60
보은군,만수계곡,1.688605,,17.6,85,60,15,3,,108
보은군,서원계곡,3.601374,,10.4,69,89,13,6,,159
보령시,성주계곡,8.330599,,9.6,58,72,14,15,,73
보령시,명대계곡,0.284389,,18.5,106,9,0,0,,60
밀양,호박소계곡,4.540119,,50.4,75,351,30,4,,253
밀양,석남사계곡,2.155936,,16.4,115,26,6,15,,60
무주군,칠연계곡,0.936062,,5.9,45,62,13,0,,68
무주군,구천동계곡,2.837451,,36.7,121,280,0,0,,60
동해,무릉계곡,8.230227,,13.1,100,705,3,4,,166
동두천시,왕방계곡,2.00609,,7.9,46,60,11,15,,73
담양군,용흥사계곡,0.768453,,12.6,92,37,13,9,,65
담양군,가마골계곡,0.326439,,79,22.9,50,15,0,,65
논산시,수락계곡,5.722139,,30.1,86,197,15,7,,93
남원시,구룡계곡,1.120807,,14.6,128,70,14,5,,60
남원시,뱀사골계곡,3.581873,,15,50,425,15,2,,60
남원시,달궁계곡,2.968697,,15.7,54,425,30,2,,73
남양주시,묘적사 계곡,8.400136,,7.6,49,166,4,15,,60
김해,장유대청계곡,10.75065,,13.3,93,351,8,45,,131
김천,증산계곡,2.190419,,38.7,115,17,0,2,,70
금산군,청강수계곡,4.428075,,10.8,57,109,15,0,,72
군위,동산계곡,6.533855,,27.6,120,247,13,14,,217
광주시,엄미리계곡,1.085281,,9.7,45,97,9,15,,60
광주광역시,원효계곡,0.401884,,17.7,91,48,4,15,,60
공주시,동학사계곡,10.16965,,10.2,62,227,45,45,,60
공주시,갑사계곡,0.783708,,18.7,82,20,15,11,,60
공주시,동월계곡,1.103254,,10.5,49,14,45,45,,60
공주시,상신계곡,0.191641,,12.7,90,14,15,3,,60
곡성군,청계동 계곡,1.103254,,8.3,68,61,0,0,,60
고창군,도솔계곡,0.191641,,15.8,54,6,0,11,,60
고령,상비리계곡,0.443473,,14.8,73,44,15,13,,155
강화군,함허동천계곡,3.662335,,18,45,372,45,30,,63
강릉,소금강계곡,5.384202,,29.9,86,221,15,0,,60
