add0,name,search,wqg,bts,tbp,n,mean_rank,p_count,cafe_count.5km.,final_score*비율
괴산,화양구곡,3.82,1.7,19,91,62,2.63,31,0,30.1
괴산,갈론계곡,2.17,2,13,148,46,15.04,8,6,15.6
괴산,괴산선유동계곡,2.31,2,21,75,14,21.5,21,0,8.2
괴산,쌍곡구곡,0.06,2,16,64,62,6.03,19,1,27.1
영월,김삿갓계곡,10.39,6,20,72,55,18.45,20,2,15.2
영월,어라연계곡,0.88,2,12,40,0,0,3,2,5.7
영월,이끼계곡,2.44,4,18,76,1,27,0,1,6
영월,연하계곡,1.12,1,10,41,27,17.19,2,1,10.6
영월,법흥계곡,0.39,1,24,96,14,18.71,24,4,8.4
영월,엄둔계곡,65.74,4.6,24,156,5,24,19,3,6.4
영월,내리계곡,4.37,6,28,111,0,0,9,1,5.7
양구,천미계곡,5.8,2,33,128,60,5.13,0,0,37.3
양구,광치계곡,0.38,2,5.5,58,0,0,4,2,8
양구,두타연계곡,0.61,2,16.3,86,60,13.9,6,0,26.6
양구,비수구미,6.19,2,26.4,112,0,0,2,1,8
양구,남전계곡,0.3,2,11,97,0,0,4,3,8
인제,아침가리계곡,9.69,2.5,11.3,51,62,10.39,13,2,45
인제,내린천,3.69,3.6,4.7,15,2,30,40,23,12.9
인제,백담계곡,13.97,1.5,2.5,3,62,6.95,6,8,52.9
인제,십이선녀탕,1.7,1.5,3.7,23,58,20.69,4,5,30.9
인제,진동계곡,1.78,2.5,10.4,51,0,0,13,2,12.1
인제,미산계곡,1.64,2.4,6.2,50,0,0,20,1,12.1
인제,하추리계곡,0.47,3.7,13.2,48,0,0,13,1,12.1
인제,가야동계곡,0.1,1.5,9.5,999,0,0,0,0,12.1
인제,구만동계곡,0.41,1.5,1.2,9,0,0,12,7,12.1
인제,수렴동계곡,0,1.5,3.9,20,0,0,0,5,12.1
인제,방동계곡,0.23,2.5,2.7,24,0,0,3,0,12.1
인제,내심적계곡,0.05,1.5,2.1,15,0,0,1,0,12.1
인제,옥녀탕계곡,0.01,1.5,11.3,54,0,0,4,0,12.1
인제,추대계곡,0,2.5,9.3,70,0,0,18,0,12.1
인제,대승폭포계곡,0.54,1.5,13.6,89,0,0,1,0,12.1
봉화,석천계곡,2.22,2.33,21.43,77,28,20.61,4,11,2.3
봉화,고선계곡,0.76,7,32.3,999,5,27.4,0,0,1.5
봉화,백천계곡,0.58,2,16.1,96,5,27,1,0,1.5
봉화,사미정계곡,0.27,2.33,4.44,18,20,19,0,11,2.1
봉화,반야계곡,0.06,2,4.2,58,0,0,0,0,1.3
산청,대원사계곡,2.13,1,23.3,999,55,15.31,6,0,11.5
산청,백운동계곡,1.07,1.75,16.2,82,61,9.03,6,0,15.2
산청,중산리계곡,8.69,3,30.4,197,9,24.33,45,0,4.6
산청,거림계곡,0.87,3,30.9,141,12,27.42,38,3,4.8
산청,오봉계곡,0.59,1,19.1,73,7,26.14,8,0,4.4
산청,유평계곡,0.21,3,28.1,132,0,0,7,0,3.9
산청,청계계곡,1.03,3,13.5,77,2,29.5,18,8,4.1
산청,천내계곡,0.05,3,21.5,80,0,0,2,0,3.9
산청,고운동계곡,0.03,2.15,25.2,85,0,0,10,1,3.9
울주군,작천정계곡,8.81,2.57,7.8,49,35,9.57,5,45,15.6
울주군,석남사 계곡,2.16,1.63,16.4,37,0,0,1,14,5.7
울주군,내원암계곡,0.04,3.67,5.1,32,11,16.18,2,15,7.7
울주군,천전리각석계곡,0.2,3.47,13.5,71,0,0,0,12,5.7
울주군,철구소,0.01,1.63,25.3,61,9,22,44,5,7.1
파주시,감악산계곡,0.01,4,17,64,0,0,4,0,1.7
파주시,적성계곡,0.85,4,17,64,0,0,3,15,1.7
파주시,마장리계곡,0.92,4,18.5,89,0,0,2,0,1.7
가평군,명지계곡,16.28,2,40.7,169,5,23.6,30,0,17.9
가평군,녹수계곡,2.7,7,8.2,40,0,0,44,15,15.6
가평군,조무락계곡,1.4,1.75,21.3,118,0,0,42,1,22.1
가평군,조종천계곡,1.22,7,15.2,34,0,0,45,45,15.6
가평군,두밀계곡,0.17,2.75,8.4,36,0,0,45,9,15.6
가평군,용추계곡,28.72,2.75,5.8,100,60,12.67,10,0,54.8
가평군,화악계곡,0.2,1.75,24.5,178,0,0,14,0,15.6
가평군,귀목계곡,0.28,2,14.5,47,0,0,10,0,15.6
가평군,명지계곡유원지,0.21,2,12.2,47,0,0,30,0,15.6
가평군,익근리계곡,0.12,2,11.7,45,0,0,45,0,15.6
가평군,석룡산계곡유원지,0.01,2,17.3,74,0,0,45,1,15.6
가평군,백둔계곡,0.43,2,6.1,29,0,0,45,1,15.6
가평군,현리계곡,1.56,2,5,26,0,0,45,15,15.6
가평군,큰골계곡,0.24,3.07,9.1,48,0,0,45,30,15.6
가평군,유명계곡,0.88,3.07,27.1,148,0,0,45,11,15.6
가평군,안골계곡,3.06,3.07,18.6,94,0,0,24,15,15.6
가평군,청평계곡,3.41,5.07,0.75,2,0,0,40,30,15.6
가평군,현등사계곡,0.08,2,23.1,105,0,0,45,9,15.6
가평군,고동산계곡,0.08,2,13.6,47,0,0,45,30,15.6
가평군,장재울계곡,0.02,2,14.6,66,0,0,6,0,15.6
가평군,용소계곡,111.45,2,34.2,138,0,0,5,0,15.6
