"","add0","add1","add2","add3","mwqg"
"1","","남동구","수산동","595-47",5
"2","가평군","가평읍","복장리","복장초교앞",6.28571428571429
"3","가평군","가평읍","읍내리","가평교",2.75
"4","가평군","북면","도대리",NA,2
"5","가평군","북면","목동리",NA,1.75
"6","가평군","상면","덕현리(산장2교)",NA,7
"7","가평군","상면","항사리",NA,2
"8","가평군","외서면","고성리","양진국교앞",2.9375
"9","가평군","외서면","호명리","댐앞",4.14285714285714
"10","가평군","외서면","호명리","호명나루터앞",2
"11","가평군","청평면","","유원지",2
"12","가평군","청평면","유원지",NA,2
"13","가평군","청평면","청평리","청평교",5.57142857142857
"14","가평군","청평면","청평리","청평댐",4.14285714285714
"15","가평군","하면","하판리",NA,2
"16","강남구","대치동","","대치교",2
"17","강남구","대치동","대치교",NA,4
"18","강남구","삼성동","","도보교",4.5
"19","강남구","삼성동","도보교",NA,5
"20","강동구","강일동(망월2교)",NA,NA,6.09090909090909
"21","강동구","고덕동","","고덕천교",3.5
"22","강동구","고덕동","고덕천교",NA,4
"23","강동구","상일동(상일3교)",NA,NA,5
"24","강동구","성내동","","잠실철교",2.66666666666667
"25","강동구","성내동","잠실철교",NA,3
"26","강동구","암사동","","암사취수장앞",3
"27","강동구","천호동","","광진교",5.5
"28","강릉시","강문동",NA,NA,4.75
"29","강릉시","내곡동","","내곡교",7
"30","강릉시","내곡동","내곡교",NA,2
"31","강릉시","성산면","구산리","구산교",1
"32","강릉시","옥계면","주수리","주수교",2
"33","강릉시","저동","경포대앞",NA,5.5
"34","강릉시","주문진읍","향호리",NA,4
"35","강서구","가양동","","구암공원앞",6.2
"36","강서구","강동동","","강동교",5
"37","강서구","강동동","","김해교",4
"38","강서구","강동동","","조만교",6
"39","강서구","녹산동","","녹산2교",5.77777777777778
"40","강서구","녹산동","","둔치2교",5.5
"41","강서구","명지동","명지도선장앞",NA,5.55555555555556
"42","강서구","송정동","1506-10","녹송2호교",2.9
"43","강서구","식만동","","시만교",4
"44","강진군","강진읍","학명리","",3
"45","강진군","군동면","석교리","석교교.",4
"46","강진군","병영면","삭양리","삭양교",3.1
"47","강진군","옴천면","봉림리","봉림교",1.95833333333333
"48","강화군","내가면","","내가1교",5
"49","강화군","내가면","내가1교",NA,6
"50","강화군","선원면","","선행교",5.5
"51","강화군","선원면","선행교",NA,4
"52","거제시","삼거동　",NA,NA,1
"53","거제시","신현읍","들고래",NA,1.85714285714286
"54","거제시","연초면","다공리","연초교",3
"55","거제시","연초면","덕사리",NA,2.63636363636364
"56","거제시","연초면","명동리",NA,2
"57","거제시","연초면","이목리","댐중앙",2.41176470588235
"58","거창군","거창읍","대동리","아월교",2.25
"59","거창군","거창읍","서변리","학리교",2.4
"60","거창군","거창읍","중앙리","중앙교",2
"61","거창군","기조면","","지산교",7
"62","거창군","남상면","임불리","가천천합류전황강본류",2.41379310344828
"63","거창군","남하면","대야리","거창골동품경매장밑",3
"64","거창군","남하면","무릉리","남하교",2.41666666666667
"65","거창군","마리면","영승리","계동교",1.7
"66","경산시","진량읍","부기리","부하교",5.64705882352941
"67","경산시","하양읍","부호리","대부",4.66666666666667
"68","경주시","감포읍","오류리","댐앞",1.82352941176471
"69","경주시","강동면","단구리","달성교",4.33333333333333
"70","경주시","강동면","안계리",NA,3.57142857142857
"71","경주시","강동면","인동리","강동대교",3
"72","경주시","내남면","노곡리","노곡보",2
"73","경주시","보문동","댐앞",NA,4
"74","경주시","보문동","호텔학교앞",NA,4
"75","경주시","산내면","신원리","매곡교",1.80769230769231
"76","경주시","양북면","구길리","구길교　",2.5
"77","경주시","천북면","모아리",NA,5
"78","경주시","탑동","","나정교",2
"79","계룡시","두마면","광석리","화악교",3.75
"80","계룡시","엄사면","엄사리","두계교",2.42857142857143
"81","계양구","계양동","","굴포2교",4.6
"82","계양구","계양동","굴포2교",NA,6
"83","계양구","박촌동(박촌1교)",NA,NA,5.36
"84","계양구","장기동","","귤현나루",5
"85","계양구","장기동","귤현나루",NA,4
"86","고령군","성산면","성산로","1140(삼대리",5
"87","고령군","우곡면","객기리","객기양수장",2.5
"88","고령군","우곡면","사촌리","도진교",3
"89","고령군","운수면","화암리","작천교",2
"90","고성군","간성읍","상리","북천교",7
"91","고성군","고성읍","","태평식품앞",3.25
"92","고성군","죽왕면","오봉리",NA,7
"93","고성군","토성면","용촌리",NA,4
"94","고성군","토성면","천진리",NA,5
"95","고성군","현내면","초도리",NA,4
"96","고양시","덕양구","삼송동","삼송교",3.66666666666667
"97","고양시","덕양구","선유동(능선교)",NA,2.71428571428571
"98","고양시","덕양구","신원동","벽제교밑",3
"99","고양시","덕양구","용두동",NA,4
"100","고양시","덕양구","지축동(통일교)",NA,3.38461538461538
"101","고양시","덕양구","행주외동","행주대교",4.71428571428571
"102","고양시","덕양구","효자동(장산교)",NA,4.5
