add0,name,search,wqg,bts,tbp,g_count,p_count,cafe_count.5km.,final_score,,s_ratio,g_ratio,c_ratio,p_ratio
괴산,화양구곡,3.82,1.7,19,91,320,31,0,304,,0.456937799,0.692640693,0,0.392405063
괴산,갈론계곡,2.17,2,13,148,50,8,6,158,,0.259569378,0.108225108,0.857142857,0.101265823
괴산,괴산선유동계곡,2.31,2,21,75,80,21,0,83,,0.276315789,0.173160173,0,0.265822785
괴산,쌍곡구곡,0.06,2,16,64,12,19,1,274,,0.007177033,0.025974026,0.142857143,0.240506329
영월,김삿갓계곡,10.39,6,20,72,71,20,2,159,,0.121762569,0.16027088,0.142857143,0.25974026
영월,어라연계곡,0.88,2,12,40,80,3,2,60,,0.010312903,0.180586907,0.142857143,0.038961039
영월,이끼계곡,2.44,4,18,76,91,0,1,63,,0.028594867,0.205417607,0.071428571,0
영월,연하계곡,1.12,1,10,41,59,2,1,111,,0.013125513,0.133182844,0.071428571,0.025974026
영월,법흥계곡,0.39,1,24,96,62,24,4,88,,0.004570491,0.139954853,0.285714286,0.311688312
영월,엄둔계곡,65.74,4.6,24,156,61,19,3,67,,0.77042072,0.137697517,0.214285714,0.246753247
영월,내리계곡,4.37,6,28,111,19,9,1,60,,0.051212938,0.042889391,0.071428571,0.116883117
양구,천미계곡,5.8,2,33,128,26,0,0,279,,0.436746988,0.041935484,0,0
양구,광치계곡,0.38,2,5.5,58,12,4,2,60,,0.028614458,0.019354839,0.333333333,0.25
양구,두타연계곡,0.61,2,16.3,86,432,6,0,199,,0.045933735,0.696774194,0,0.375
양구,비수구미,6.19,2,26.4,112,135,2,1,60,,0.466114458,0.217741935,0.166666667,0.125
양구,남전계곡,0.3,2,11,97,15,4,3,60,,0.022590361,0.024193548,0.5,0.25
인제,아침가리계곡,9.69,2.5,11.3,51,271,13,2,223,,0.282672112,0.284963197,0.037037037,0.087837838
인제,내린천,3.69,3.6,4.7,15,117,40,23,64,,0.10764294,0.123028391,0.425925926,0.27027027
인제,백담계곡,13.97,1.5,2.5,3,160,6,8,262,,0.407526254,0.168243954,0.148148148,0.040540541
인제,십이선녀탕,1.7,1.5,3.7,23,117,4,5,153,,0.049591599,0.123028391,0.092592593,0.027027027
인제,진동계곡,1.78,2.5,10.4,51,52,13,2,60,,0.051925321,0.054679285,0.037037037,0.087837838
인제,미산계곡,1.64,2.4,6.2,50,65,20,1,60,,0.047841307,0.068349106,0.018518519,0.135135135
인제,하추리계곡,0.47,3.7,13.2,48,8,13,1,60,,0.013710618,0.008412198,0.018518519,0.087837838
인제,가야동계곡,0.1,1.5,9.5,999,21,0,0,60,,0.002917153,0.022082019,0,0
인제,구만동계곡,0.41,1.5,1.2,9,7,12,7,60,,0.011960327,0.007360673,0.12962963,0.081081081
인제,수렴동계곡,0,1.5,3.9,20,36,0,5,60,,0,0.03785489,0.092592593,0
인제,방동계곡,0.23,2.5,2.7,24,5,3,0,60,,0.006709452,0.005257624,0,0.02027027
인제,내심적계곡,0.05,1.5,2.1,15,1,1,0,60,,0.001458576,0.001051525,0,0.006756757
인제,옥녀탕계곡,0.01,1.5,11.3,54,13,4,0,60,,0.000291715,0.013669821,0,0.027027027
인제,추대계곡,0,2.5,9.3,70,9,18,0,60,,0,0.009463722,0,0.121621622
인제,대승폭포계곡,0.54,1.5,13.6,89,69,1,0,60,,0.015752625,0.072555205,0,0.006756757
봉화,석천계곡,2.22,2.33,21.43,77,48,4,11,104,,0.570694087,0.466019417,0.5,0.8
봉화,고선계곡,0.76,7,32.3,999,20,0,0,67,,0.195372751,0.194174757,0,0
봉화,백천계곡,0.58,2,16.1,96,21,1,0,67,,0.149100257,0.203883495,0,0.2
봉화,사미정계곡,0.27,2.33,4.44,18,6,0,11,93,,0.06940874,0.058252427,0.5,0
봉화,반야계곡,0.06,2,4.2,58,8,0,0,60,,0.015424165,0.077669903,0,0
산청,대원사계곡,2.13,1,23.3,999,115,6,0,179,,0.147302905,0.387205387,0,0.045112782
산청,백운동계곡,1.07,1.75,16.2,82,50,6,0,236,,0.073997234,0.168350168,0,0.045112782
산청,중산리계곡,8.69,3,30.4,197,70,45,0,71,,0.600968188,0.235690236,0,0.338345865
산청,거림계곡,0.87,3,30.9,141,30,38,3,74,,0.060165975,0.101010101,0.25,0.285714286
산청,오봉계곡,0.59,1,19.1,73,24,8,0,69,,0.040802213,0.080808081,0,0.060150376
산청,청계계곡,1.03,3,13.5,77,5,18,8,64,,0.071230982,0.016835017,0.666666667,0.135338346
산청,천내계곡,0.05,3,21.5,80,0,2,0,60,,0.003457815,0,0,0.015037594
산청,고운동계곡,0.03,2.15,25.2,85,3,10,1,60,,0.002074689,0.01010101,0.083333333,0.07518797
울주군,작천정계곡,8.81,2.57,7.8,49,269,5,45,165,,0.785204991,0.615560641,0.494505495,0.096153846
울주군,석남사 계곡,2.16,1.63,16.4,37,25,1,14,60,,0.192513369,0.057208238,0.153846154,0.019230769
울주군,내원암계곡,0.04,3.67,5.1,32,56,2,15,82,,0.003565062,0.128146453,0.164835165,0.038461538
